736987.48427869;9.00000000;736987.48427876;15360.00000000;736987.48427884;1401.00000000
736987.48427902;9.00000000;736987.48427910;-30720.00000000;736987.48427919;1401.00000000
736987.48427942;9.00000000;736987.48427951;-46080.00000000;736987.48427959;1401.00000000
736987.48427976;9.00000000;736987.48427985;-46079.00000000;736987.48427993;1402.00000000
736987.48428009;9.00000000;736987.48428016;0.00000000;736987.48428023;1403.00000000
736987.48428039;9.00000000;736987.48428046;-30720.00000000;736987.48428054;1402.00000000
736987.48428072;9.00000000;736987.48428080;60960.00000000;736987.48428088;1401.00000000
736987.48428103;9.00000000;736987.48428112;15360.00000000;736987.48428122;1402.00000000
736987.48428139;9.00000000;736987.48428147;0.00000000;736987.48428156;1402.00000000
736987.48428174;9.00000000;736987.48428182;122880.00000000;736987.48428191;1240.00000000
736987.48428211;13.00000000;736987.48428219;706559.00000000;736987.48428229;261.00000000
736987.48428249;39.00000000;736987.48428258;4715519.00000000;736987.48428266;1159.00000000
736987.48428284;163.00000000;736987.48428294;10260479.00000000;736987.48428302;1936.00000000
736987.48428319;356.00000000;736987.48428333;17111038.00000000;736987.48428344;2342.00000000
736987.48428362;745.00000000;736987.48428370;21903358.00000000;736987.48428378;2151.00000000
736987.48428395;1192.00000000;736987.48428402;24852480.00000000;736987.48428411;2173.00000000
736987.48428427;1721.00000000;736987.48428435;29045760.00000000;736987.48428443;2217.00000000
736987.48428459;2182.00000000;736987.48428466;33407998.00000000;736987.48428475;2276.00000000
736987.48428492;2789.00000000;736987.48428500;37570556.00000000;736987.48428507;2213.00000000
736987.48428525;3477.00000000;736987.48428534;43668476.00000000;736987.48428551;2247.00000000
736987.48428587;4950.00000000;736987.48428605;53114880.00000000;736987.48428624;2226.00000000
736987.48428660;7133.00000000;736987.48428670;62039040.00000000;736987.48428682;2280.00000000
736987.48428705;8873.00000000;736987.48428718;68167672.00000000;736987.48428734;2252.00000000
736987.48428755;10622.00000000;736987.48428763;74695672.00000000;736987.48428772;2282.00000000
736987.48428789;12135.00000000;736987.48428797;79487992.00000000;736987.48428806;2311.00000000
736987.48428822;13543.00000000;736987.48428831;84095992.00000000;736987.48428838;2193.00000000
736987.48428854;14813.00000000;736987.48428862;89041912.00000000;736987.48428872;2211.00000000
736987.48428885;16365.00000000;736987.48428894;93143040.00000000;736987.48428900;2208.00000000
736987.48428917;17759.00000000;736987.48428925;97966080.00000000;736987.48428932;2262.00000000
736987.48428948;19460.00000000;736987.48428957;100270080.00000000;736987.48428965;2200.00000000
736987.48428981;21499.00000000;736987.48428988;107535360.00000000;736987.48428995;2216.00000000
736987.48429012;23093.00000000;736987.48429020;111728640.00000000;736987.48429028;2335.00000000
736987.48429044;25026.00000000;736987.48429051;115215360.00000000;736987.48429059;2318.00000000
736987.48429075;27044.00000000;736987.48429082;118241280.00000000;736987.48429090;2299.00000000
736987.48429113;29746.00000000;736987.48429123;124416000.00000000;736987.48429130;2331.00000000
736987.48429146;31939.00000000;736987.48429154;130252792.00000000;736987.48429163;2312.00000000
736987.48429178;33881.00000000;736987.48429185;132894712.00000000;736987.48429193;2246.00000000
736987.48429209;36218.00000000;736987.48429216;137794544.00000000;736987.48429226;2201.00000000
736987.48429243;38986.00000000;736987.48429252;142556144.00000000;736987.48429259;2223.00000000
736987.48429275;41492.00000000;736987.48429282;146012144.00000000;736987.48429291;2180.00000000
736987.48429304;43329.00000000;736987.48429314;151357424.00000000;736987.48429321;2235.00000000
736987.48429338;46353.00000000;736987.48429346;156764144.00000000;736987.48429355;2210.00000000
736987.48429369;49084.00000000;736987.48429377;160711664.00000000;736987.48429387;2338.00000000
736987.48429402;51893.00000000;736987.48429409;163246064.00000000;736987.48429416;2307.00000000
736987.48429432;54363.00000000;736987.48429440;169052144.00000000;736987.48429447;2401.00000000
736987.48429463;57315.00000000;736987.48429470;173875184.00000000;736987.48429481;2281.00000000
736987.48429503;61229.00000000;736987.48429512;178498544.00000000;736987.48429521;2201.00000000
736987.48429535;64362.00000000;736987.48429543;183905264.00000000;736987.48429550;2328.00000000
736987.48429565;67110.00000000;736987.48429572;185994240.00000000;736987.48429579;2247.00000000
736987.48429595;70389.00000000;736987.48429604;191784960.00000000;736987.48429611;2243.00000000
736987.48429627;73262.00000000;736987.48429634;195348480.00000000;736987.48429642;2198.00000000
736987.48429659;77183.00000000;736987.48429666;201738240.00000000;736987.48429674;2339.00000000
736987.48429689;80189.00000000;736987.48429697;205332480.00000000;736987.48429706;2303.00000000
736987.48429721;83770.00000000;736987.48429729;209633280.00000000;736987.48429737;2339.00000000
736987.48429753;86902.00000000;736987.48429763;214440960.00000000;736987.48429771;2333.00000000
736987.48429787;91168.00000000;736987.48429795;219264000.00000000;736987.48429802;2333.00000000
736987.48429818;94435.00000000;736987.48429826;223150080.00000000;736987.48429836;2311.00000000
736987.48429852;98878.00000000;736987.48429865;228049920.00000000;736987.48429875;2280.00000000
736987.48429891;103426.00000000;736987.48429900;233088000.00000000;736987.48429909;2290.00000000
736987.48429924;108076.00000000;736987.48429932;237557760.00000000;736987.48429940;2335.00000000
736987.48429954;111629.00000000;736987.48429962;241766400.00000000;736987.48429970;2240.00000000
736987.48429985;115851.00000000;736987.48429993;246297600.00000000;736987.48430003;2276.00000000
736987.48430019;120148.00000000;736987.48430027;249907200.00000000;736987.48430035;2337.00000000
736987.48430050;124523.00000000;736987.48430058;255114240.00000000;736987.48430066;2318.00000000
736987.48430082;128978.00000000;736987.48430091;259845104.00000000;736987.48430098;2245.00000000
